,USER_ID,AVG_PERC,MAX_PERC,TOP3_AVG,NMOCKS,ATT,OK,ACC,AVG_ATT
480,1885839,74.63280746,91.72077922,89.47,15,1024,605,59.08,68.26666667
481,1886196,58.34658296,88.34498834,80.79,12,553,387,69.98,46.08333333
483,1887550,49.5659691,74.28921569,69.08,8,380,239,62.89,47.5
484,1887895,71.86322626,86.04087653,85.01,6,417,257,61.63,69.5
485,1888634,54.60459717,69.42316711,68.18,14,756,463,61.24,54
486,1889627,74.41074101,91.64724165,87.92,15,824,588,71.36,54.93333333
488,1893174,20.04355044,36.96374404,27.37,7,316,163,51.58,45.14285714
489,1898379,73.21668715,95.28370076,87.05,5,283,214,75.62,56.6
490,1905446,59.4944115,88.2034632,79,11,633,388,61.3,57.54545455
492,1906644,72.22494363,88.09095812,84.08,15,998,599,60.02,66.53333333
496,1917660,48.7333823,71.36437174,65.55,14,883,459,51.98,63.07142857
497,1917703,85.0349956,99.18879056,96.75,8,506,380,75.1,63.25
498,1918688,77.6806732,97.98275862,97.52,10,633,448,70.77,63.3
499,1919327,82.52705169,96.42628718,94.15,15,1106,682,61.66,73.73333333
500,1920995,76.54415386,92.25545441,88.66,9,604,382,63.25,67.11111111
501,1922269,69.96855641,93.20510516,86.48,6,354,235,66.38,59
504,1924259,92.64467473,97.48631518,96.61,8,541,384,70.98,67.625
505,1925912,52.40678216,84.74348192,75,14,713,457,64.1,50.92857143
506,1927199,73.06550238,95.72439694,88.51,10,560,402,71.79,56
508,1930232,74.73574414,85.41486603,82.99,7,387,272,70.28,55.28571429
509,1931826,94.67734321,98.59477124,98.21,14,1014,720,71.01,72.42857143
510,1932902,81.93965122,95.33892383,92.7,12,769,533,69.31,64.08333333
511,1933044,51.65114199,64.36757512,60.92,5,277,175,63.18,55.4
513,1935116,57.50720946,78.09129279,69.11,6,347,206,59.37,57.83333333
516,1937373,95.19454334,99.57792715,99.28,12,815,622,76.32,67.91666667
517,1937763,74.69284668,87.89253817,85.69,7,364,260,71.43,52
518,1940255,26.74899499,38.19955229,32.23,5,212,127,59.91,42.4
519,1940525,87.22588106,96.42628718,95.01,6,415,290,69.88,69.16666667
521,1941084,67.33018959,87.27272727,82.04,12,666,434,65.17,55.5
523,1941939,65.50243736,87.22455845,85.64,12,714,448,62.75,59.5
524,1942029,68.14727979,84.912307,72.71,5,287,190,66.2,57.4
525,1942177,75.74291436,93.75,92.02,7,373,271,72.65,53.28571429
526,1942423,50.93923604,60.09795448,58,4,224,131,58.48,56
528,1943465,51.79771252,73.35651075,68.01,10,582,338,58.08,58.2
529,1943475,96.0046332,99.30846931,99.07,11,842,612,72.68,76.54545455
530,1943971,74.01826821,83.62230891,82.4,6,325,226,69.54,54.16666667
531,1944022,91.4272961,98.52507375,97.21,11,785,550,70.06,71.36363636
532,1944942,88.2751272,95.34026875,94.51,8,511,372,72.8,63.875
534,1945169,72.58543145,89.92591254,89.45,15,859,585,68.1,57.26666667
535,1945951,87.958782,99.44035817,98.41,9,603,435,72.14,67
